
C:\Users\anfeldma\codeHome\YCSB\bin>"C:\Program Files\Zulu\zulu-8\\bin\java.exe"  -classpath "C:\Users\anfeldma\codeHome\YCSB\conf;C:\Users\anfeldma\codeHome\YCSB\core\target\core-0.18.0-SNAPSHOT.jar;C:\Users\anfeldma\codeHome\YCSB\core\target\dependency\HdrHistogram-2.1.4.jar;C:\Users\anfeldma\codeHome\YCSB\core\target\dependency\htrace-core4-4.1.0-incubating.jar;C:\Users\anfeldma\codeHome\YCSB\core\target\dependency\jackson-core-asl-1.9.4.jar;C:\Users\anfeldma\codeHome\YCSB\core\target\dependency\jackson-mapper-asl-1.9.4.jar;C:\Users\anfeldma\codeHome\YCSB\mongodb\target\mongodb-binding-0.18.0-SNAPSHOT.jar;C:\Users\anfeldma\codeHome\YCSB\mongodb\target\dependency\logback-classic-1.1.2.jar;C:\Users\anfeldma\codeHome\YCSB\mongodb\target\dependency\logback-core-1.1.2.jar;C:\Users\anfeldma\codeHome\YCSB\mongodb\target\dependency\mongo-java-driver-3.11.0.jar;C:\Users\anfeldma\codeHome\YCSB\mongodb\target\dependency\mongodb-async-driver-2.0.1.jar;C:\Users\anfeldma\codeHome\YCSB\mongodb\target\dependency\slf4j-api-1.7.25.jar;C:\Users\anfeldma\codeHome\YCSB\mongodb\target\dependency\snappy-java-1.1.7.1.jar" site.ycsb.Client -t -db site.ycsb.db.MongoDbClient -s -p mongodb.upsert=true -P "C:\Users\anfeldma\codeHome\YCSB\workloads\workloadr" -p mongodb.url="mongodb://mongo-api-benchmark:KiYRdcJp41NN268oTcyeM2ilpLwYUAo8tsX9sYoBNTd6DzjXuJHtcaSylh5VJNGs2wg1FVGExRC0m5Z6pEk7ow==@mongo-api-benchmark.mongo.cosmos.azure.com:10255/?ssl=true&replicaSet=globaldb&retrywrites=false&maxIdleTimeMS=120000&appName=@mongo-api-benchmark@" -p operationcount=1428571 -p recordcount=10000000 -threads 220 
mongo client connection created with mongodb://mongo-api-benchmark:KiYRdcJp41NN268oTcyeM2ilpLwYUAo8tsX9sYoBNTd6DzjXuJHtcaSylh5VJNGs2wg1FVGExRC0m5Z6pEk7ow==@mongo-api-benchmark.mongo.cosmos.azure.com:10255/?ssl=true&replicaSet=globaldb&retrywrites=false&maxIdleTimeMS=120000&appName=@mongo-api-benchmark@
[OVERALL], RunTime(ms), 49098
[OVERALL], Throughput(ops/sec), 29096.317568943745
[TOTAL_GCS_PS_Scavenge], Count, 45
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 138
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.2810705120371502
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 45
[TOTAL_GC_TIME], Time(ms), 138
[TOTAL_GC_TIME_%], Time(%), 0.2810705120371502
[READ], Operations, 1428566
[READ], AverageLatency(us), 7461.794195717944
[READ], MinLatency(us), 2606
[READ], MaxLatency(us), 819199
[READ], 95thPercentileLatency(us), 8231
[READ], 99thPercentileLatency(us), 11367
[READ], Return=OK, 1428566
[READ], Return=NOT_FOUND, 5
[CLEANUP], Operations, 220
[CLEANUP], AverageLatency(us), 60.74545454545454
[CLEANUP], MinLatency(us), 0
[CLEANUP], MaxLatency(us), 13287
[CLEANUP], 95thPercentileLatency(us), 1
[CLEANUP], 99thPercentileLatency(us), 13
[READ-FAILED], Operations, 5
[READ-FAILED], AverageLatency(us), 7046.0
[READ-FAILED], MinLatency(us), 6468
[READ-FAILED], MaxLatency(us), 8103
[READ-FAILED], 95thPercentileLatency(us), 8103
[READ-FAILED], 99thPercentileLatency(us), 8103
